Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
Gifford Fong Associates;0001740316;9/30/2025;45938;246,210;;67066G104
Mirabaud & Cie SA;0001869685;9/30/2025;45909;246,057;;67066G104
SHELTON CAPITAL MANAGEMENT;0001002784;9/30/2025;468;246,000;put;67066G104
FUKOKU MUTUAL LIFE INSURANCE Co;0001033324;9/30/2025;45848;245,733;;67066G104
PARUS FINANCE (UK) Ltd;0001611519;9/30/2025;45759;245,253;;67066G104
Brookwood Investment Group LLC;0002066812;9/30/2025;45647;244,656;;67066G104
LAKE STREET PRIVATE WEALTH, LLC;0001772031;9/30/2025;45558;244,175;;67066G104
FFG Partners, LLC;0002045972;9/30/2025;45373;243,186;;67066G104
PFG Advisors;0001694435;9/30/2025;45363;243,134;;67066G104
NWAM LLC;0001655006;9/30/2025;44074;243,012;;67066G104
Turtle Creek Wealth Advisors, LLC;0002007171;9/30/2025;45229;242,415;;67066G104
TigerOak Management, L.L.C.;0002052586;9/30/2025;45129;241,876;;67066G104
Concord Investment Counsel Inc.;0002022154;9/30/2025;45017;241,277;;67066G104
GARDNER LEWIS ASSET MANAGEMENT L P;0000941560;9/30/2025;45012;241,253;;67066G104
Palacios Wealth Management, LLC;0002053829;9/30/2025;44765;239,927;;67066G104
Meiji Yasuda Life Insurance Co;0001144492;9/30/2025;44760;239,898;;67066G104
FIRST NATIONAL BANK OF OMAHA;0000036644;9/30/2025;44559;238,823;;67066G104
EVENTIDE ASSET MANAGEMENT, LLC;0001442891;9/30/2025;44229;238,539;;67066G104
Arete Wealth Advisors, LLC;0001600151;9/30/2025;44450;238,042;;67066G104
Parcion Private Wealth LLC;0001801263;9/30/2025;44374;237,832;;67066G104
Trifecta Capital Advisors, LLC;0001962615;9/30/2025;44353;237,719;;67066G104
EverSource Wealth Advisors, LLC;0001710537;9/30/2025;44288;237,372;;67066G104
RPO LLC;0001885066;9/30/2025;44219;237,000;put;67066G104
Hillsdale Investment Management Inc.;0001368465;9/30/2025;44115;236,441;;67066G104
Sand Hill Global Advisors, LLC;0001009209;9/30/2025;44102;236,373;;67066G104
Hills Bank & Trust Co;0001309148;9/30/2025;43931;235,455;;67066G104
PNC Financial Services Group, Inc.;0000713676;9/30/2025;43763;234,557;;67066G104
KRS Capital Management, LLC;0001910876;9/30/2025;43750;234,489;;67066G104
Symphony Financial, Ltd. Co.;0001800687;9/30/2025;43625;234,249;;67066G104
NATIONS FINANCIAL GROUP INC, /IA/ /ADV;0001109767;9/30/2025;43635;233,869;;67066G104
Y-Intercept (Hong Kong) Ltd;0001772875;9/30/2025;43600;233,683;;67066G104
Austin Asset Management Co Inc;0001902024;9/30/2025;43574;233,543;;67066G104
DIVERSIFY WEALTH MANAGEMENT, LLC;0002030780;9/30/2025;48274;233,345;;67066G104
SVB WEALTH LLC;0001626116;9/30/2025;43499;233,144;;67066G104
Sound View Wealth Advisors Group, LLC;0001784777;9/30/2025;43179;232,593;;67066G104
Wealthspire Advisors, LLC;0001646247;9/30/2025;43196;231,518;;67066G104
TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH PZU SA;0002071170;9/30/2025;43186;231,462;;67066G104
Goldstream Capital Management Ltd;0001872787;9/30/2025;43159;231,317;;67066G104
CIGNA INVESTMENTS INC /NEW;0000049969;9/30/2025;42936;230,123;;67066G104
Anson Funds Management LP;0001491072;9/30/2025;42892;229,890;;67066G104
Genus Capital Management Inc.;0001532385;9/30/2025;42822;229,512;;67066G104
WEBSTER BANK, N. A.;0001105837;9/30/2025;42793;229,357;;67066G104
Argent Trust Co;0001625292;9/30/2025;42790;229,340;;67066G104
Empire Life Investments Inc.;0001640951;9/30/2025;42586;228,249;;67066G104
INGALLS & SNYDER LLC;0001041885;9/30/2025;42427;227,393;;67066G104
Hancock Prospecting Pty Ltd;0002017993;9/30/2025;42314;226,790;;67066G104
APG Asset Management US Inc.;0001323255;9/30/2025;42392;226,405;;67066G104
Colonial Trust Advisors;0001567993;9/30/2025;42129;225,801;;67066G104
Elite Wealth Management, Inc.;0001622757;9/30/2025;42128;225,794;;67066G104
Proem Advisors LLC;0001842526;9/30/2025;41980;225,000;;67066G104
Stratos Investment Management, LLC;0001707206;9/30/2025;41874;224,432;;67066G104
ARS Investment Partners, LLC;0000733020;9/30/2025;41810;224,090;;67066G104
Analyst IMS Investment Management Services Ltd.;0001634208;9/30/2025;41729;223,653;;67066G104
Addenda Capital Inc.;0001569411;9/30/2025;41615;223,090;;67066G104
NORDEN GROUP LLC;0001990699;9/30/2025;41604;222,986;;67066G104
Sloy Dahl & Holst, LLC;0001690295;9/30/2025;41563;222,764;;67066G104
FengHe Fund Management Pte. Ltd.;0001660531;9/30/2025;41514;222,500;;67066G104
BARLOW WEALTH PARTNERS, INC.;0001999928;9/30/2025;40054;222,177;;67066G104
Bernard Wealth Management Corp.;0002056313;9/30/2025;41453;222,176;;67066G104
YHB Investment Advisors, Inc.;0001469219;9/30/2025;41376;221,765;;67066G104
Fulcrum Asset Management LLP;0001353395;9/30/2025;41244;221,056;;67066G104
Simplicity Wealth,LLC;0001913243;9/30/2025;41230;220,979;;67066G104
ST GERMAIN D J CO INC;0000831571;9/30/2025;41209;220,866;;67066G104
NOVARE CAPITAL MANAGEMENT LLC;0001388409;9/30/2025;41105;220,312;;67066G104
Fortis Capital Advisors, LLC;0001959790;9/30/2025;41021;219,860;;67066G104
Keystone Financial Group;0001729299;9/30/2025;41053;219,561;;67066G104
Alta Park Capital, LP;0001621855;9/30/2025;40954;219,501;;67066G104
River Wealth Advisors LLC;0001642570;9/30/2025;40898;219,203;;67066G104
LMCG INVESTMENTS, LLC;0001470944;9/30/2025;40841;218,895;;67066G104
Financiere des Professionnels - Fonds d'investissement inc.;0001996846;9/30/2025;40805;218,700;;67066G104
Everhart Financial Group, Inc.;0001852858;9/30/2025;40703;218,154;;67066G104
SOMERVILLE KURT F;0001215208;9/30/2025;40642;217,831;;67066G104
SIERRA SUMMIT ADVISORS LLC;0002012614;9/30/2025;40630;217,762;;67066G104
DENALI ADVISORS LLC;0001142941;9/30/2025;40614;217,681;;67066G104
JAMES INVESTMENT RESEARCH, INC.;0000810384;9/30/2025;40607;217,639;;67066G104
Trivium Point Advisory, LLC;0001766564;9/30/2025;40606;217,634;;67066G104
GenTrust, LLC;0001697110;9/30/2025;40593;217,556;;67066G104
CCM INVESTMENT ADVISERS LLC;0000931097;9/30/2025;40548;217,327;;67066G104
Financial Engines Advisors L.L.C.;0001420473;9/30/2025;40533;217,246;;67066G104
King Wealth Management Group;0001568235;9/30/2025;40502;217,075;;67066G104
Dalton Investments, Inc.;0001388838;9/30/2025;40497;217,050;;67066G104
PITCAIRN CO;0000315014;9/30/2025;40478;216,952;;67066G104
Werlinich Asset Management, LLC;0002000493;9/30/2025;40319;216,095;;67066G104
Strategic Global Advisors, LLC;0001580212;9/30/2025;40315;216,075;;67066G104
First National Advisers, LLC;0001941030;9/30/2025;40305;216,025;;67066G104
West Branch Capital LLC;0001738723;9/30/2025;40284;215,911;;67066G104
BANQUE PICTET & CIE SA;0001535602;9/30/2025;40152;215,200;call;67066G104
TITLEIST ASSET MANAGEMENT, LLC;0001977759;9/30/2025;39887;213,782;;67066G104
HBK Sorce Advisory LLC;0001379995;9/30/2025;38392;213,494;;67066G104
OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC;0001005607;9/30/2025;39699;212,772;;67066G104
CIDEL ASSET MANAGEMENT INC;0001621915;9/30/2025;39697;212,766;;67066G104
BURR FINANCIAL SERVICES, LLC;0001966297;9/30/2025;39588;212,178;;67066G104
ALKEON CAPITAL MANAGEMENT LLC;0001230239;9/30/2025;39450;211,439;;67066G104
Cadence Bank;0001299939;9/30/2025;39418;211,266;;67066G104
Cooper Financial Group;0001751581;9/30/2025;39390;211,119;;67066G104
Baader Bank Aktiengesellschaft;0001542629;9/30/2025;35715;211,031;;67066G104
MAPLELANE CAPITAL, LLC;0001512173;9/30/2025;39181;210,000;call;67066G104
AlphaCore Capital LLC;0001713662;9/30/2025;39119;209,654;;67066G104
Hodges Capital Management Inc.;0001337263;9/30/2025;39046;209,274;;67066G104
Capital Wealth Planning, LLC;0001566728;9/30/2025;39039;209,238;;67066G104
Beaumont Financial Advisors, LLC;0001957394;9/30/2025;38923;208,618;;67066G104
AMERIPRISE FINANCIAL INC;0000820027;9/30/2025;38920;208,600;call;67066G104
Winch Advisory Services, LLC;0001585822;9/30/2025;38894;208,459;;67066G104
INTEGRITY ALLIANCE, LLC.;0001352260;9/30/2025;38827;208,098;;67066G104
FOSTER DYKEMA CABOT & PARTNERS, LLC;0002011882;9/30/2025;38811;208,055;;67066G104
First Dallas Securities Inc.;0001378559;9/30/2025;38808;208,002;;67066G104
Progressive Investment Management Corp;0001353318;9/30/2025;38728;207,573;;67066G104
JBR Co Financial Management Inc;0002017878;9/30/2025;38708;207,464;;67066G104
EagleClaw Capital Managment, LLC;0001607636;9/30/2025;38706;207,453;;67066G104
DRW Securities, LLC;0001481986;9/30/2025;38478;206,200;call;67066G104
Apollon Financial, LLC;0002011195;9/30/2025;38452;206,091;;67066G104
Polymer Capital Management (HK) LTD;0001970465;9/30/2025;38377;205,691;;67066G104
Rench Wealth Management, Inc.;0001599016;9/30/2025;38362;205,611;;67066G104
THOMPSON SIEGEL & WALMSLEY LLC;0001008322;9/30/2025;38249;204,998;;67066G104
Edgestream Partners, L.P.;0001535061;9/30/2025;38232;204,911;;67066G104
SeaCrest Wealth Management, LLC;0001728121;9/30/2025;38706;204,678;;67066G104
Fiduciary Alliance LLC;0001954805;9/30/2025;38164;204,546;;67066G104
Golden State Equity Partners;0001845003;9/30/2025;38092;204,164;;67066G104
Ausdal Financial Partners, Inc.;0001667146;9/30/2025;37946;203,379;;67066G104
GUARDIAN WEALTH ADVISORS, LLC / NC;0001901403;9/30/2025;37556;201,288;;67066G104
SAWGRASS ASSET MANAGEMENT LLC;0001105467;9/30/2025;37483;200,896;;67066G104
Nemes Rush Group LLC;0001982273;9/30/2025;37415;200,534;;67066G104
True Blue (BVI) Ltd;0002011315;9/30/2025;37413;200,520;;67066G104
Banco BTG Pactual S.A.;0001536080;9/30/2025;37378;200,333;;67066G104
TITAN GLOBAL CAPITAL MANAGEMENT USA LLC;0001845930;9/30/2025;37365;200,268;;67066G104
WHITEBOX ADVISORS LLC;0001257391;9/30/2025;37316;200,000;put;67066G104
Svenska Handelsbanken AB (publ);0001643792;9/30/2025;37316;200,000;;67066G104
Proem Advisors LLC;0001842526;9/30/2025;37316;200,000;call;67066G104
Broderick Brian C;0001314376;9/30/2025;37275;199,785;;67066G104
CastleKnight Management LP;0001835751;9/30/2025;37241;199,600;;67066G104
Morse Asset Management, Inc;0001705711;9/30/2025;37207;199,416;;67066G104
LOWE BROCKENBROUGH & CO INC;0000022657;9/30/2025;36999;198,305;;67066G104
Horiko Capital Management LLC;0001762718;9/30/2025;36709;197,754;;67066G104
Capula Management Ltd;0001557017;9/30/2025;36812;197,300;call;67066G104
Generali Investments, Management Co LLC;0002043136;9/30/2025;36792;197,193;;67066G104
CSM Advisors, LLC;0001863523;9/30/2025;36777;197,105;;67066G104
JOURNEY STRATEGIC WEALTH LLC;0001909316;9/30/2025;36775;197,102;;67066G104
Lavaca Capital LLC;0001641447;9/30/2025;36773;197,090;;67066G104
FIRST FOUNDATION ADVISORS;0001086763;9/30/2025;36660;196,489;;67066G104
Discovery Value Fund;0001750451;9/30/2025;36633;196,341;;67066G104
Capital Asset Advisory Services LLC;0001666024;9/30/2025;36622;196,281;;67066G104
Covington Investment Advisors Inc.;0001569036;9/30/2025;36549;195,888;;67066G104
Strategic Advisors LLC;0001569119;9/30/2025;36489;195,570;;67066G104
FourThought Financial Partners, LLC;0001956790;9/30/2025;36459;195,407;;67066G104
GKV Capital Management Co., Inc.;0002052321;9/30/2025;36451;195,367;;67066G104
Root Financial Partners, LLC;0001977181;9/30/2025;36325;194,692;;67066G104
Junto Capital Management LP;0001595880;9/30/2025;36323;194,680;;67066G104
Richard Bernstein Advisors LLC;0001528214;9/30/2025;36314;194,630;;67066G104
Montecito Bank & Trust;0001422508;9/30/2025;36299;194,550;;67066G104
NORTH STAR ASSET MANAGEMENT INC;0001056559;9/30/2025;36190;193,968;;67066G104
180 WEALTH ADVISORS, LLC;0001730817;9/30/2025;36142;193,709;;67066G104
IPG Investment Advisors LLC;0001602237;9/30/2025;36094;193,442;;67066G104
MONETARY MANAGEMENT GROUP INC;0001133014;9/30/2025;36034;193,130;;67066G104
CLOUGH CAPITAL PARTNERS L P;0001276144;9/30/2025;36023;193,070;;67066G104
Sage Mountain Advisors LLC;0001832274;9/30/2025;35958;192,725;;67066G104
CONNORS INVESTOR SERVICES INC;0000884548;9/30/2025;35881;192,314;;67066G104
FIRETRAIL INVESTMENTS PTY LTD;0001943822;9/30/2025;35584;192,183;;67066G104
INTRUST BANK NA;0001034771;9/30/2025;35784;191,791;;67066G104
Aft, Forsyth & Sober, LLC;0001566801;9/30/2025;35660;191,125;;67066G104
CHATHAM CAPITAL GROUP, INC.;0001108969;9/30/2025;35559;190,586;;67066G104
JAMISON PRIVATE WEALTH MANAGEMENT, INC.;0002006637;9/30/2025;35507;190,308;;67066G104
BEARING POINT CAPITAL, LLC;0002052916;9/30/2025;35480;190,163;;67066G104
Hilltop Holdings Inc.;0001265131;9/30/2025;35477;190,146;;67066G104
Graticule Asia Macro Advisors LLC;0001619390;9/30/2025;35431;189,900;;67066G104
OMC Financial Services LTD;0002026391;9/30/2025;35420;189,841;;67066G104
Geneos Wealth Management Inc.;0001764754;9/30/2025;35396;189,712;;67066G104
Westerkirk Capital Inc.;0002080423;9/30/2025;35395;189,705;;67066G104
Washington Trust Advisors, Inc.;0001900099;9/30/2025;35334;189,382;;67066G104
ALGERT GLOBAL LLC;0001275218;9/30/2025;35314;189,271;;67066G104
Marietta Wealth Management, LLC;0001697847;9/30/2025;35200;188,660;;67066G104
Broadleaf Partners, LLC;0001712686;9/30/2025;35130;188,288;;67066G104
MATHER GROUP, LLC.;0001527641;9/30/2025;35106;188,160;;67066G104
Essex Financial Services, Inc.;0001315785;9/30/2025;35032;187,762;;67066G104
MONTAG A & ASSOCIATES INC;0000829407;9/30/2025;34945;187,284;;67066G104
Linden Thomas Advisory Services, LLC;0001965702;9/30/2025;34940;187,267;;67066G104
SANDERS MORRIS HARRIS LLC;0001053994;9/30/2025;34863;186,855;;67066G104
Richard C. Young & CO., LTD.;0001387304;9/30/2025;34857;186,824;;67066G104
Citrine Capital LLC;0002053242;9/30/2025;34807;186,554;;67066G104
FOUNDERS FINANCIAL SECURITIES LLC;0001342396;9/30/2025;34730;186,142;;67066G104
Financial Avengers, Inc.;0001844393;9/30/2025;34672;185,832;;67066G104
Indiana Trust & Investment Management Co;0001356407;9/30/2025;34645;185,688;;67066G104
Decatur Capital Management, Inc.;0001505961;9/30/2025;34628;185,595;;67066G104
Benchstone Capital Management LP;0002016777;9/30/2025;34593;185,407;;67066G104
BNC WEALTH MANAGEMENT, LLC;0001821549;9/30/2025;34553;185,193;;67066G104
Keel Point, LLC;0001386935;9/30/2025;34526;185,051;;67066G104
Bell Bank;0001002672;9/30/2025;34405;184,402;;67066G104
Thomasville National Bank;0001561790;9/30/2025;34369;184,208;;67066G104
STRATEGIC PLANNING GROUP, LLC;0001875525;9/30/2025;34368;184,199;;67066G104
Checchi Capital Advisers, LLC;0001598186;9/30/2025;34363;184,175;;67066G104
Onex Canada Asset Management Inc.;0000905790;9/30/2025;34304;183,861;;67066G104
Darden Wealth Group Inc;0002011221;9/30/2025;34205;183,329;;67066G104
Portfolio Design Labs, LLC;0002010278;9/30/2025;34170;183,142;;67066G104
JACKSON SQUARE CAPITAL, LLC;0001812178;9/30/2025;34070;182,607;;67066G104
Welch Group, LLC;0001443095;9/30/2025;34016;182,318;;67066G104
Avalon Global Asset Management LLC;0001314273;9/30/2025;33920;181,800;;67066G104
ARCADIA INVESTMENT MANAGEMENT CORP/MI;0001016972;9/30/2025;33906;181,725;;67066G104
Concord Wealth Partners;0001814214;9/30/2025;33781;181,056;;67066G104
Talos Eurisko Asset Management LP;0002041062;9/30/2025;33724;180,751;;67066G104
Benchmark Investment Advisors LLC;0001910971;9/30/2025;33709;180,532;;67066G104
Truvestments Capital LLC;0001750405;9/30/2025;33670;180,461;;67066G104
STALEY CAPITAL ADVISERS INC;0001106565;9/30/2025;33630;180,249;;67066G104
Harbor Advisors LLC;0001687156;9/30/2025;33584;180,000;;67066G104
Family Management Corp;0001539947;9/30/2025;33503;179,566;;67066G104
Citizens Business Bank;0001948632;9/30/2025;33471;179,393;;67066G104
Scott & Selber, Inc.;0001315269;9/30/2025;33453;179,296;;67066G104
Creekmur Asset Management LLC;0002013091;9/30/2025;33349;178,742;;67066G104
Ancora Advisors LLC;0001446114;9/30/2025;33345;178,720;;67066G104
BNP PARIBAS FINANCIAL MARKETS;0001166588;9/30/2025;3324911;178,203;put;67066G104
BOOTHBAY FUND MANAGEMENT, LLC;0001549230;9/30/2025;33211;178,000;call;67066G104
Modern Wealth Management, LLC;0002001900;9/30/2025;33203;177,961;;67066G104
BANK OF HAWAII;0000315080;9/30/2025;33158;177,718;;67066G104
DE BURLO GROUP INC;0001134288;9/30/2025;33132;177,580;;67066G104
HOWE & RUSLING INC;0000769963;9/30/2025;33055;177,165;;67066G104
BFSG, LLC;0001706836;9/30/2025;32969;176,703;;67066G104
Beck Bode, LLC;0001790548;9/30/2025;32912;176,400;;67066G104
CIBC Capital Markets (Europe) S.A.;0002045104;9/30/2025;32880;176,229;;67066G104
CYPRESS ASSET MANAGEMENT INC/TX;0001030618;9/30/2025;32861;176,126;;67066G104
MIRABELLA FINANCIAL SERVICES LLP;0001538853;9/30/2025;32675;175,473;;67066G104
SCS Capital Management LLC;0001303159;9/30/2025;32687;175,186;;67066G104
LSV ASSET MANAGEMENT;0001050470;9/30/2025;32652;175,004;;67066G104
Aaron Wealth Advisors LLC;0001812198;9/30/2025;32651;175,000;put;67066G104
Owl Creek Asset Management, L.P.;0001313756;9/30/2025;32651;175,000;put;67066G104
Wealth Management Partners, LLC;0001843294;9/30/2025;32584;174,642;;67066G104
Strategic Wealth Investment Group, LLC;0001802365;9/30/2025;32544;174,425;;67066G104
Edgemoor Investment Advisors, Inc.;0001313792;9/30/2025;32533;174,364;;67066G104
Teamwork Financial Advisors, LLC;0001629931;9/30/2025;32522;174,303;;67066G104
Stonegate Investment Group, LLC;0001904154;9/30/2025;32487;174,123;;67066G104
Applied Finance Capital Management, LLC;0001966007;9/30/2025;32348;173,375;;67066G104
W.G. Shaheen & Associates DBA Whitney & Co;0001577001;9/30/2025;32291;173,069;;67066G104
BECK CAPITAL MANAGEMENT, LLC;0001601904;9/30/2025;32275;172,982;;67066G104
Sendero Wealth Management, LLC;0001639375;9/30/2025;32231;172,749;;67066G104
FARMERS & MERCHANTS INVESTMENTS INC;0001259969;9/30/2025;32163;172,387;;67066G104
Cassaday & Co Wealth Management LLC;0001963612;9/30/2025;32134;172,228;;67066G104
DigitalBridge Group, Inc.;0001679688;9/30/2025;32048;171,766;;67066G104
CONNING INC.;0000801051;9/30/2025;32041;171,732;;67066G104
RNC CAPITAL MANAGEMENT LLC;0000051762;9/30/2025;31997;171,496;;67066G104
Coastal Bridge Advisors, LLC;0001665976;9/30/2025;31989;171,453;;67066G104
Apexium Financial, LP;0001765285;9/30/2025;31985;171,423;;67066G104
Zweig-DiMenna Associates LLC;0001533950;9/30/2025;31824;170,565;;67066G104
Neumann Capital Management, LLC;0001631930;9/30/2025;31823;170,563;;67066G104
COZAD ASSET MANAGEMENT INC;0000709428;9/30/2025;31820;170,549;;67066G104
TEMA ETFS LLC;0002056807;9/30/2025;31801;170,445;;67066G104
OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC);0001132716;9/30/2025;31743;170,131;;67066G104
Icon Wealth Advisors, LLC;0001963212;9/30/2025;31735;170,090;;67066G104
KILEY JUERGENS WEALTH MANAGEMENT, LLC;0001723223;9/30/2025;31722;170,019;;67066G104
Ramsay, Stattman, Vela & Price, Inc.;0001541399;9/30/2025;31721;170,018;;67066G104
Clarity Financial LLC;0001862145;9/30/2025;31693;169,865;;67066G104
Integrated Financial Solutions, Inc.;0002086529;9/30/2025;26766;169,419;;67066G104
CARY STREET PARTNERS FINANCIAL LLC;0001475045;9/30/2025;31609;169,414;;67066G104
AlphaStar Capital Management, LLC;0001633857;9/30/2025;31575;169,231;;67066G104
SPIRIT OF AMERICA MANAGEMENT CORP/NY;0001041283;9/30/2025;31573;169,220;;67066G104
Asio Capital, LLC;0001803291;9/30/2025;31551;169,096;;67066G104
Pure Financial Advisors, LLC;0001571556;9/30/2025;31478;168,711;;67066G104
KAVAR CAPITAL PARTNERS GROUP, LLC;0001841766;9/30/2025;31413;168,367;;67066G104
DELTEC ASSET MANAGEMENT LLC;0001269950;9/30/2025;31405;168,320;;67066G104
bLong Financial, LLC;0001943004;9/30/2025;31301;167,767;;67066G104
NatWest Group plc;0000844150;9/30/2025;31244;167,458;;67066G104
Waterloo Capital, L.P.;0001730942;9/30/2025;31200;167,225;;67066G104
PDS Planning, Inc;0000838618;9/30/2025;31195;167,198;;67066G104
Elequin Capital, LP;0001810873;9/30/2025;31191;167,177;;67066G104
Roundview Capital LLC;0001476804;9/30/2025;31182;167,126;;67066G104
Brick & Kyle, Associates;0001632253;9/30/2025;30871;165,455;;67066G104
DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.;0001672142;9/30/2025;30785;165,000;put;67066G104
Stonebridge Capital Advisors LLC;0001600035;9/30/2025;30768;164,906;;67066G104
Patten Group, Inc.;0001633207;9/30/2025;30649;164,272;;67066G104
SIGMA INVESTMENT COUNSELORS INC;0001085163;9/30/2025;30632;164,176;;67066G104
NAN FUNG TRINITY (HK) LTD;0001781880;9/30/2025;30606;164,040;;67066G104
WEALTH EFFECTS LLC;0001907254;9/30/2025;30566;163,827;;67066G104
Hamilton Wealth, LLC;0001760263;9/30/2025;30483;163,378;;67066G104
Naviter Wealth, LLC;0001855567;9/30/2025;30419;163,029;;67066G104
PRELUDE CAPITAL MANAGEMENT, LLC;0001387508;9/30/2025;30391;162,889;;67066G104
Kingsman Wealth Management, Inc.;0002066184;9/30/2025;30316;162,483;;67066G104
UNIVERSITY OF TEXAS/TEXAS AM INVESTMENT MANAGEMENT CO;0001019231;9/30/2025;30306;162,434;;67066G104
SUMMITRY LLC;0001280043;9/30/2025;30251;162,135;;67066G104
Masso Torrence Wealth Management Inc.;0001903153;9/30/2025;30199;161,860;;67066G104
Baird Financial Group, Inc.;0001648711;9/30/2025;30186;161,788;;67066G104
SageView Advisory Group, LLC;0001914558;9/30/2025;30141;161,545;;67066G104
Supplemental Annuity Collective Trust of NJ;0001483065;9/30/2025;30095;161,300;;67066G104
Advisors Asset Management, Inc.;0001297376;9/30/2025;30080;161,218;;67066G104
GENERAL AMERICAN INVESTORS CO INC;0000040417;9/30/2025;30035;160,979;;67066G104
ADAPT Investment Managers SA;0002029917;9/30/2025;29890;160,200;call;67066G104
SOA Wealth Advisors, LLC.;0001849444;9/30/2025;23680;160,177;;67066G104
Central Asset Investments & Management Holdings (HK) Ltd;0001583672;9/30/2025;29756;159,482;;67066G104
Pinnacle Wealth Management Advisory Group, LLC;0001631864;9/30/2025;29739;159,391;;67066G104
FIRST MERCHANTS CORP;0000712534;9/30/2025;29716;159,270;;67066G104
LONDON CO OF VIRGINIA;0001259887;9/30/2025;29703;159,200;;67066G104
Bollard Group LLC;0001556218;9/30/2025;29653;158,928;;67066G104
Cove Private Wealth, LLC;0002015131;9/30/2025;29638;158,854;;67066G104
HOLDERNESS INVESTMENTS CO;0001184820;9/30/2025;29631;158,814;;67066G104
HIGHLINE WEALTH PARTNERS LLC;0002042654;9/30/2025;29599;158,642;;67066G104
ELEVATION POINT WEALTH PARTNERS, LLC;0001744349;9/30/2025;29562;158,434;;67066G104
Ninety One SA (PTY) Ltd;0001491998;9/30/2025;29556;158,404;;67066G104
Jefferies Financial Group Inc.;0000096223;9/30/2025;29554;158,400;put;67066G104
Tradition Wealth Management, LLC;0001843010;9/30/2025;29551;158,386;;67066G104
Heirloom Wealth Management;0001882903;9/30/2025;29505;158,140;;67066G104
Founders Financial Alliance, LLC;0001832190;9/30/2025;29444;157,814;;67066G104
TRUST CO OF TOLEDO NA /OH/;0001008937;9/30/2025;29363;157,378;;67066G104
Callahan Advisors, LLC;0001395055;9/30/2025;29350;157,306;;67066G104
Forum Financial Management, LP;0001911832;9/30/2025;29309;157,088;;67066G104
IFG Advisory, LLC;0001728319;9/30/2025;29248;156,759;;67066G104
GeoWealth Management, LLC;0001593387;9/30/2025;29171;156,348;;67066G104
Berbice Capital Management LLC;0002051605;9/30/2025;29153;156,250;;67066G104
Carroll Investors, Inc;0001911400;9/30/2025;29055;156,105;;67066G104
WealthPlan Investment Management, LLC;0001929986;9/30/2025;29123;156,090;;67066G104
Bogart Wealth, LLC;0001715740;9/30/2025;29103;155,984;;67066G104
Nishkama Capital, LLC;0001633799;9/30/2025;29088;155,905;;67066G104
Stiles Financial Services Inc;0001904832;9/30/2025;29062;155,765;;67066G104
ATWOOD & PALMER INC;0001044929;9/30/2025;29042;155,656;;67066G104
FAGAN ASSOCIATES, INC.;0001607866;9/30/2025;28988;155,366;;67066G104
Nilsine Partners, LLC;0001913043;9/30/2025;28917;154,990;;67066G104
GuoLine Advisory Pte Ltd;0001966595;9/30/2025;28901;154,900;;67066G104
Columbus Hill Capital Management, L.P.;0001384982;9/30/2025;28882;154,800;;67066G104
TRANSCEND CAPITAL ADVISORS, LLC;0001776082;9/30/2025;28826;154,501;;67066G104
Octavia Wealth Advisors, LLC;0001841259;9/30/2025;28825;154,487;;67066G104
Proficio Capital Partners LLC;0001654175;9/30/2025;28782;154,262;;67066G104
Private Capital Advisors, Inc.;0001350780;9/30/2025;28759;154,138;;67066G104
Joel Isaacson & Co., LLC;0001599330;9/30/2025;28756;154,124;;67066G104
Archford Capital Strategies, LLC;0001606609;9/30/2025;28754;154,113;;67066G104
MARTINGALE ASSET MANAGEMENT L P;0000936944;9/30/2025;28725;153,958;;67066G104
Prosperity Consulting Group, LLC;0001910398;9/30/2025;28620;153,396;;67066G104
Sompo Asset Management Co., Ltd.;0001533504;9/30/2025;28564;153,097;;67066G104
DRW Securities, LLC;0001481986;9/30/2025;28495;152,700;put;67066G104
Fort Sheridan Advisors LLC;0001606666;9/30/2025;28347;151,930;;67066G104
Glen Eagle Advisors, LLC;0002029317;9/30/2025;28345;151,921;;67066G104
Quantitative Investment Management, LLC;0001445911;9/30/2025;28342;151,906;;67066G104
Blue Trust, Inc.;0001856022;9/30/2025;28334;151,860;;67066G104
Hennion & Walsh Asset Management, Inc.;0001861642;9/30/2025;28316;151,768;;67066G104
Alden Global Capital LLC;0001616882;9/30/2025;28306;151,713;;67066G104
ICICI Prudential Asset Management Co Ltd;0001697850;9/30/2025;28301;151,685;;67066G104
Brown Shipley& Co Ltd;0001912970;9/30/2025;28266;151,497;;67066G104
Bell Asset Management Ltd;0001681004;9/30/2025;28264;151,485;;67066G104
SFMG, LLC;0001512026;9/30/2025;28248;151,400;;67066G104
Verition Fund Management LLC;0001454027;9/30/2025;28229;151,300;call;67066G104
Johnson Financial Group, Inc.;0001477024;9/30/2025;28188;151,071;;67066G104
Procyon Advisors, LLC;0001804329;9/30/2025;28181;151,042;;67066G104
DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main;0001694217;9/30/2025;28137;151,000;call;67066G104
Advisory Alpha, LLC;0001576762;9/30/2025;28493;150,843;;67066G104
